"","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million"
"109","LVA","Europe","Latvia","2020-10-20",3494,44,104.143,42,0,0.286,1852.4,23.327,55.213,22.267,0,0.151
"110","LBN","Asia","Lebanon","2020-10-20",62944,658,1188.571,526,6,8.571,9221.967,96.404,174.138,77.065,0.879,1.256
"111","LSO","Africa","Lesotho","2020-10-20",1833,0,4,42,0,0,855.642,0,1.867,19.606,0,0
"112","LBR","Africa","Liberia","2020-10-20",1381,4,1.429,82,0,0,273.05,0.791,0.282,16.213,0,0
"113","LBY","Africa","Libya","2020-10-20",49949,1159,875.429,732,7,12.571,7269.235,168.673,127.404,106.53,1.019,1.83
"114","LIE","Europe","Liechtenstein","2020-10-20",227,3,11.143,1,0,0,5952.225,78.664,292.18,26.221,0,0
"115","LTU","Europe","Lithuania","2020-10-20",7726,205,211.143,113,0,1.429,2838.051,75.304,77.561,41.509,0,0.525
"116","LUX","Europe","Luxembourg","2020-10-20",10888,242,165.286,133,0,0,17393.638,386.596,264.045,212.468,0,0
"117","MKD","Europe","Macedonia","2020-10-20",23788,160,382.143,846,12,7,11417.984,76.798,183.424,406.071,5.76,3.36
"118","MDG","Africa","Madagascar","2020-10-20",16810,0,12,238,0,0.143,607.056,0,0.433,8.595,0,0.005
"119","MWI","Africa","Malawi","2020-10-20",5860,3,5.143,181,0,0.143,306.326,0.157,0.269,9.462,0,0.007
"120","MYS","Asia","Malaysia","2020-10-20",21363,865,734.714,190,3,4.429,660.045,26.726,22.7,5.87,0.093,0.137
"121","MDV","Asia","Maldives","2020-10-20",11232,22,41.286,37,0,0.286,20779.144,40.7,76.378,68.45,0,0.529
"122","MLI","Africa","Mali","2020-10-20",3407,28,15.857,132,0,0,168.24,1.383,0.783,6.518,0,0
"123","MLT","Europe","Malta","2020-10-20",4737,455,127.571,45,0,0.286,10728.384,1030.487,288.924,101.916,0,0.647
"124","MRT","Africa","Mauritania","2020-10-20",7608,5,8.286,163,0,0,1636.249,1.075,1.782,35.056,0,0
"125","MUS","Africa","Mauritius","2020-10-20",419,12,2.143,10,0,0,329.463,9.436,1.685,7.863,0,0
"126","MEX","North America","Mexico","2020-10-20",854926,3699,2408.143,86338,171,341.857,6630.79,28.689,18.678,669.636,1.326,2.651
"127","MDA","Europe","Moldova","2020-10-20",67302,252,669.143,1601,17,17.571,16683.842,62.47,165.877,396.88,4.214,4.356
"128","MCO","Europe","Monaco","2020-10-20",268,3,4.571,1,0,0,6829.069,76.445,116.487,25.482,0,0
"129","MNG","Asia","Mongolia","2020-10-20",326,2,0.857,NA,0,0,99.442,0.61,0.261,NA,0,0
"130","MNE","Europe","Montenegro","2020-10-20",15760,145,244.286,240,4,4.143,25093.064,230.869,388.952,382.128,6.369,6.596
"131","MSR","North America","Montserrat","2020-10-20",13,0,0,1,0,0,2600.52,0,0,200.04,0,0
